SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
8981,"6865","1","Marvel Super Heroes","Avengers","2012","Captain America's Avenging Cycle",3,72,11.99,12.99,15.99,14.99,"https://images.brickset.com/sets/images/6865-1.jpg",8960,1775
8983,"6867","1","Marvel Super Heroes","Avengers","2012","Loki's Cosmic Cube Escape",3,181,19.99,19.99,24.99,26.99,"https://images.brickset.com/sets/images/6867-1.jpg",8818,2243
8984,"6868","1","Marvel Super Heroes","Avengers","2012","Hulk's Helicarrier Breakout",4,389,49.99,49.99,64.99,59.99,"https://images.brickset.com/sets/images/6868-1.jpg",6178,2231
8985,"6869","1","Marvel Super Heroes","Avengers","2012","Quinjet Aerial Battle",5,735,69.99,69.99,89.99,79.99,"https://images.brickset.com/sets/images/6869-1.jpg",6373,2558
9636,"30162","1","Marvel Super Heroes","Avengers","2012","Quinjet",,33,,,,,"https://images.brickset.com/sets/images/30162-1.jpg",2222,1141
9637,"30163","1","Marvel Super Heroes","Avengers","2012","Thor and the Cosmic Cube",1,25,,4.99,,,"https://images.brickset.com/sets/images/30163-1.jpg",3892,1514
9638,"30165","1","Marvel Super Heroes","Avengers","2012","Hawkeye with equipment",1,24,,,,,"https://images.brickset.com/sets/images/30165-1.jpg",3231,1552
10331,"30167","1","Marvel Super Heroes","Avengers","2013","Iron Man vs. Fighting Drone",1,24,,4.99,,,"https://images.brickset.com/sets/images/30167-1.jpg",3959,1597
22874,"30168","1","Marvel Super Heroes","Iron Man 3","2013","Gun mounting system",1,17,,,,,"https://images.brickset.com/sets/images/30168-1.jpg",3843,2287
26064,"30447","1","Marvel Super Heroes","Captain America: Civil War","2016","Captain America's Motorcycle ",1,25,,,,,"https://images.brickset.com/sets/images/30447-1.jpg",3743,1031
26901,"30449","1","Marvel Super Heroes","Guardians of the Galaxy Vol. 2","2017","The Milano",,64,,,,,"https://images.brickset.com/sets/images/30449-1.jpg",2392,666
27978,"30525","1","Marvel Super Heroes","Avengers: Infinity War","2018","The Guardians' Ship",,69,3.99,,,3.49,"https://images.brickset.com/sets/images/30525-1.jpg",2092,399
26376,"41493","1","BrickHeadz","Marvel Super Heroes","2016","Black Panther & Doctor Strange",,173,,39.99,,,"https://images.brickset.com/sets/images/41493-1.jpg",166,916
27014,"41589","1","BrickHeadz","Marvel Super Heroes","2017","Captain America",,79,9.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/41589-1.jpg",3757,537
27016,"41590","1","BrickHeadz","Marvel Super Heroes","2017","Iron Man",,96,9.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/41590-1.jpg",3944,541
27017,"41592","1","BrickHeadz","Marvel Super Heroes","2017","The Hulk",,93,9.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/41592-1.jpg",3335,474
27406,"41604","1","BrickHeadz","Marvel Super Heroes","2018","Iron Man MK50",,101,9.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/41604-1.jpg",1726,669
27407,"41605","1","BrickHeadz","Marvel Super Heroes","2018","Thanos",,105,9.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/41605-1.jpg",1860,641
27408,"41606","1","BrickHeadz","Marvel Super Heroes","2018","Star-Lord",,113,9.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/41606-1.jpg",1671,684
27409,"41607","1","BrickHeadz","Marvel Super Heroes","2018","Gamora",,136,9.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/41607-1.jpg",1662,673
